"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.188803200E-1,7.900525630E-2,1.292813420E-1,9.866081238E0,9.867244524E0
5.212771950E-1,9.097574651E-2,1.268872321E-1,9.863686562E0,9.864922176E0
5.236738100E-1,9.097574651E-2,1.197049394E-1,9.854109764E0,9.855256724E0
5.260701120E-1,9.336984903E-2,1.268872321E-1,9.866081238E0,9.867338916E0
5.284672990E-1,9.576395154E-2,1.364636272E-1,9.863686562E0,9.865095318E0
5.308640180E-1,8.139935881E-2,1.508282125E-1,9.858899117E0,9.860388775E0
5.332605810E-1,8.139935881E-2,1.580105126E-1,9.863686562E0,9.865287921E0
5.356576640E-1,8.858165890E-2,1.484341323E-1,9.866081238E0,9.867595370E0
5.380543830E-1,9.576395154E-2,1.364636272E-1,9.868474960E0,9.869883034E0
5.404516740E-1,9.815804660E-2,1.340695322E-1,9.861292839E0,9.862692639E0
5.428487060E-1,8.379345387E-2,1.316754371E-1,9.851716042E0,9.852952285E0
5.452454760E-1,7.900525630E-2,1.268872321E-1,9.851716042E0,9.852849901E0
5.476428720E-1,8.379345387E-2,1.292813420E-1,9.858899117E0,9.860102778E0
5.500397470E-1,9.336984903E-2,1.244931296E-1,9.858899117E0,9.860127193E0
5.524364660E-1,1.029462516E-1,1.244931296E-1,9.861292839E0,9.862615927E0
5.548336540E-1,9.336984903E-2,1.316754371E-1,9.858899117E0,9.860220491E0
5.572307370E-1,8.858165890E-2,1.244931296E-1,9.851716042E0,9.852900802E0
5.596280810E-1,8.858165890E-2,1.197049394E-1,9.858899117E0,9.860023721E0
5.620250600E-1,8.858165890E-2,1.268872321E-1,9.875657082E0,9.876869437E0
5.644213620E-1,8.618755639E-2,1.316754371E-1,9.873263359E0,9.874517511E0
5.668182890E-1,8.858165890E-2,1.292813420E-1,9.861292839E0,9.862538052E0
5.692146950E-1,8.858165890E-2,1.292813420E-1,9.866081238E0,9.867325847E0
5.716108930E-1,8.379345387E-2,1.244931296E-1,9.858899117E0,9.860041160E0
5.740077680E-1,8.858165890E-2,1.220990419E-1,9.849322319E0,9.850477401E0
5.764045390E-1,1.005521491E-1,1.292813420E-1,9.863686562E0,9.865046223E0
5.788017260E-1,8.618755639E-2,1.316754371E-1,9.863686562E0,9.864941931E0
5.811984450E-1,7.421706617E-2,1.268872321E-1,9.868474960E0,9.869569726E0
5.835947990E-1,9.097574651E-2,1.292813420E-1,9.890022278E0,9.891285604E0
5.859919350E-1,9.576395154E-2,1.340695322E-1,9.882840157E0,9.884213420E0
5.883885490E-1,8.618755639E-2,1.292813420E-1,9.870868683E0,9.872091496E0
5.907846950E-1,8.858165890E-2,1.316754371E-1,9.873263359E0,9.874538698E0
5.931812580E-1,9.576395154E-2,1.388577372E-1,9.875657082E0,9.877097499E0
5.955779240E-1,9.576395154E-2,1.268872321E-1,9.870868683E0,9.872148685E0
5.979751120E-1,9.097574651E-2,1.197049394E-1,9.866081238E0,9.867226806E0
6.003720910E-1,9.336984903E-2,1.244931296E-1,9.868474960E0,9.869701845E0
6.027688620E-1,9.336984903E-2,1.220990419E-1,9.878050804E0,9.879246621E0
6.051662580E-1,8.618755639E-2,1.268872321E-1,9.880446434E0,9.881637030E0
6.075630810E-1,8.139935881E-2,1.292813420E-1,9.861292839E0,9.862476159E0
6.099594870E-1,8.858165890E-2,1.316754371E-1,9.856505394E0,9.857782900E0
6.123562060E-1,1.077344418E-1,1.316754371E-1,9.875657082E0,9.877122452E0
6.147529240E-1,8.858165890E-2,1.244931296E-1,9.870868683E0,9.872051145E0
6.171500080E-1,8.618755639E-2,1.268872321E-1,9.854109764E0,9.855303542E0
6.195468310E-1,1.029462516E-1,1.268872321E-1,9.858899117E0,9.860253044E0
6.219434970E-1,9.097574651E-2,1.197049394E-1,9.861292839E0,9.862438964E0
6.243405810E-1,7.900525630E-2,1.173108369E-1,9.866081238E0,9.867094945E0
6.267372470E-1,8.618755639E-2,1.244931296E-1,9.873263359E0,9.874424347E0
6.291340700E-1,9.097574651E-2,1.316754371E-1,9.866081238E0,9.867379287E0
6.315313100E-1,8.858165890E-2,1.244931296E-1,9.856505394E0,9.857689579E0
6.339282890E-1,9.336984903E-2,1.197049394E-1,9.856505394E0,9.857674461E0
6.363257890E-1,9.576395154E-2,1.316754371E-1,9.863686562E0,9.865030245E0
6.387227680E-1,8.858165890E-2,1.316754371E-1,9.873263359E0,9.874538698E0
6.411193310E-1,8.618755639E-2,1.173108369E-1,9.870868683E0,9.871941991E0
6.435166220E-1,9.336984903E-2,1.101285368E-1,9.866081238E0,9.867137640E0
6.459135490E-1,9.576395154E-2,1.173108369E-1,9.868474960E0,9.869636802E0
6.483100600E-1,8.858165890E-2,1.197049394E-1,9.870868683E0,9.871991923E0
6.507069350E-1,8.139935881E-2,1.173108369E-1,9.868474960E0,9.869507877E0
6.531037580E-1,7.900525630E-2,1.197049394E-1,9.868474960E0,9.869517169E0
6.555009450E-1,8.379345387E-2,1.244931296E-1,9.873263359E0,9.874403741E0
6.578975080E-1,8.858165890E-2,1.316754371E-1,9.866081238E0,9.867357505E0
6.602935490E-1,1.029462516E-1,1.388577372E-1,9.856505394E0,9.858020997E0
6.626907890E-1,1.005521491E-1,1.268872321E-1,9.868474960E0,9.869802893E0
6.650876640E-1,8.618755639E-2,1.220990419E-1,9.882840157E0,9.883970155E0
6.674841740E-1,8.618755639E-2,1.268872321E-1,9.858899117E0,9.860092315E0
6.698809450E-1,9.336984903E-2,1.149167418E-1,9.846927643E0,9.848040810E0
6.722776640E-1,8.858165890E-2,1.173108369E-1,9.870868683E0,9.871963184E0
6.746747990E-1,8.139935881E-2,1.268872321E-1,9.873263359E0,9.874414189E0
6.770715180E-1,9.336984903E-2,1.220990419E-1,9.866081238E0,9.867278505E0
6.794677160E-1,9.097574651E-2,1.220990419E-1,9.868474960E0,9.869649579E0
